STATIONS_ID;MESS_DATUM;QN_2;V_TE002;V_TE005;V_TE010;V_TE020;V_TE050;V_TE100;eor
       3362;2018072600;    3;  -999;  23.7;  26.2;  26.7;  23.7;  21.2;eor
       3362;2018072601;    3;  -999;  22.7;  25.4;  26.3;  23.7;  21.2;eor
       3362;2018072602;    3;  -999;  21.9;  24.7;  26.0;  23.8;  21.2;eor
       3362;2018072603;    3;  -999;  21.3;  24.1;  25.7;  23.8;  21.2;eor
       3362;2018072604;    3;  -999;  20.7;  23.6;  25.4;  23.8;  21.2;eor
       3362;2018072605;    3;  -999;  20.4;  23.1;  25.0;  23.9;  21.2;eor
       3362;2018072606;    3;  -999;  20.5;  22.9;  24.7;  23.9;  21.2;eor
       3362;2018072607;    3;  -999;  22.6;  23.1;  24.5;  23.9;  21.2;eor
       3362;2018072608;    3;  -999;  25.8;  24.2;  24.3;  23.9;  21.2;eor
       3362;2018072609;    3;  -999;  29.4;  26.0;  24.4;  23.9;  21.2;eor
       3362;2018072610;    3;  -999;  32.7;  28.0;  24.7;  23.9;  21.2;eor
       3362;2018072611;    3;  -999;  35.6;  30.1;  25.2;  23.8;  21.2;eor
       3362;2018072612;    3;  -999;  37.8;  32.0;  25.8;  23.8;  21.2;eor
       3362;2018072613;    3;  -999;  38.3;  33.4;  26.6;  23.8;  21.2;eor
       3362;2018072614;    3;  -999;  37.7;  33.9;  27.3;  23.8;  21.2;eor
       3362;2018072615;    3;  -999;  37.6;  34.2;  27.9;  23.8;  21.2;eor
       3362;2018072616;    3;  -999;  37.1;  34.4;  28.4;  23.8;  21.2;eor
       3362;2018072617;    3;  -999;  35.7;  34.0;  28.8;  23.8;  21.2;eor
       3362;2018072618;    3;  -999;  33.7;  33.2;  29.0;  23.9;  21.2;eor
       3362;2018072619;    3;  -999;  31.0;  32.0;  29.1;  23.9;  21.3;eor
       3362;2018072620;    3;  -999;  28.5;  30.6;  29.0;  24.0;  21.3;eor
       3362;2018072621;    3;  -999;  26.8;  29.3;  28.7;  24.1;  21.3;eor
       3362;2018072622;    3;  -999;  25.4;  28.2;  28.4;  24.1;  21.3;eor
       3362;2018072623;    3;  -999;  24.3;  27.2;  28.0;  24.2;  21.3;eor
       
